날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,평균기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa)
2020-01-01,18,12,0.025,0.014,0.5,0.003,1.9,2.3,44,1021
2020-01-02,48,34,0.02,0.025,0.6,0.003,4.1,2.8,53.1,1018.8
2020-01-03,52,37,0.024,0.025,0.6,0.004,5.9,3,43,1015.5
2020-01-04,37,23,0.026,0.022,0.6,0.003,5.5,2.9,34.8,1015.3
2020-01-05,40,26,0.022,0.026,0.6,0.003,7.4,1.3,51.1,1020.6
2020-01-06,27,16,0.007,0.043,0.7,0.003,7.8,1.5,89.4,1017.8
2020-01-07,19,7,0.02,0.023,0.5,0.003,14.4,6.1,96.6,1003.8
2020-01-08,19,10,0.023,0.016,0.6,0.003,8.8,6.4,63.5,1003.8
2020-01-09,30,20,0.029,0.015,0.6,0.002,5.3,2.6,48,1012.2
2020-01-10,37,25,0.016,0.034,0.6,0.003,5.9,1.8,40.5,1012.8
2020-01-11,42,31,0.019,0.031,0.6,0.003,5.9,3.3,39.5,1008.7
2020-01-12,38,28,0.03,0.013,0.6,0.003,4.6,4.4,45.4,1006.6
2020-01-13,22,11,0.026,0.017,0.4,0.002,3.5,3.3,47.3,1012.3
2020-01-14,32,20,0.015,0.027,0.6,0.003,2.1,2.4,39.8,1015
2020-01-15,34,22,0.022,0.021,0.6,0.003,2.4,2.7,39.6,1017.2
2020-01-16,35,20,0.011,0.034,0.5,0.003,3.8,2.2,31.1,1015.7
2020-01-17,31,17,0.013,0.034,0.6,0.003,6.4,1.7,39.6,1011.6
2020-01-18,24,14,0.018,0.024,0.5,0.002,5.3,3.2,60.9,1009.8
2020-01-19,43,33,0.032,0.017,0.6,0.003,4.9,3.9,40.9,1009.8
2020-01-20,59,39,0.029,0.019,0.7,0.003,5.1,2.7,45.6,1012.8
2020-01-21,31,15,0.024,0.023,0.5,0.003,5,2.2,47.5,1019.9
2020-01-22,31,17,0.006,0.044,0.7,0.003,7.7,1.8,82.3,1015.4
2020-01-23,14,9,0.021,0.019,0.6,0.002,8.8,2.6,97.1,1012.9
2020-01-24,33,20,0.028,0.017,0.6,0.003,10.2,2.4,64,1019.2
2020-01-25,24,9,0.037,0.007,0.4,0.002,9.1,2.9,66,1019.8
2020-01-26,14,5,0.036,0.007,0.4,0.003,9.5,3.9,64,1016.1
2020-01-27,12,3,0.039,0.004,0.4,0.002,6.7,6,96,1006.4
2020-01-28,8,4,0.038,0.005,0.4,0.002,8.9,3.8,69.6,1006.6
2020-01-29,19,7,0.03,0.011,0.5,0.003,8.5,2.2,59.6,1005.7
2020-01-30,20,8,0.032,0.01,0.5,0.003,7.1,2.3,55.3,1005
2020-01-31,22,12,0.023,0.022,0.5,0.003,6.3,2,51.8,1010.1
2020-02-01,51,38,0.029,0.022,0.7,0.003,5.6,2.4,50.1,1014.6
2020-02-02,71,59,0.036,0.022,0.7,0.004,7.1,2.1,49.9,1015.3
2020-02-03,45,33,0.028,0.023,0.6,0.003,5.6,2.2,42.8,1015.7
2020-02-04,32,21,0.021,0.027,0.6,0.004,5.2,3.9,34,1015.8
2020-02-05,26,17,0.035,0.011,0.5,0.003,1.8,3.6,26,1018
2020-02-06,20,10,0.025,0.018,0.5,0.004,1.2,3,36.4,1022.4
2020-02-07,30,19,0.018,0.027,0.6,0.003,5,2.4,41.5,1017.7
2020-02-08,38,25,0.035,0.011,0.6,0.003,4.1,2.9,41.3,1015.6
2020-02-09,33,24,0.032,0.015,0.6,0.003,3.8,3.8,38.6,1014.9
2020-02-10,53,37,0.024,0.034,0.7,0.004,6.3,2.2,47.4,1015
2020-02-11,54,41,0.022,0.036,0.7,0.005,9.7,1.7,59.6,1019.4
2020-02-12,33,23,0.015,0.036,0.6,0.004,11.7,3,94.6,1008.9
2020-02-13,22,11,0.018,0.031,0.7,0.004,11.4,3.7,81.3,1009.3
2020-02-14,38,29,0.024,0.032,0.7,0.006,12.3,2.1,73.5,1011.3
2020-02-15,27,17,0.043,0.016,0.6,0.004,12.8,3.1,75.4,1010.4
2020-02-16,14,7,0.033,0.01,0.5,0.003,7,4.6,65.5,1001.3
2020-02-17,19,7,0.031,0.01,0.5,0.003,0.1,6.8,42.3,1006.5
2020-02-18,22,12,0.028,0.015,0.5,0.003,1.2,2.8,36.8,1015.7
2020-02-19,28,18,0.023,0.026,0.5,0.004,6.1,2.5,38.4,1019.6
2020-02-20,38,23,0.021,0.032,0.6,0.004,9.3,1.5,45.9,1023.8
2020-02-21,38,21,0.023,0.031,0.6,0.004,11,1.8,63.3,1022
2020-02-22,57,22,0.037,0.013,0.5,0.004,9.5,5.9,44,1014.7
2020-02-23,26,11,0.034,0.011,0.5,0.004,6,3.8,40.5,1019.5
2020-02-24,25,10,0.027,0.022,0.5,0.005,10.8,4.3,46.9,1015.3
2020-02-25,10,5,0.023,0.021,0.5,0.003,9.7,3.1,94.3,1007.8
2020-02-26,16,8,0.038,0.009,0.5,0.003,9.5,3,79.3,1013.1
2020-02-27,14,6,0.034,0.009,0.4,0.004,6.8,3,66.4,1019.4
2020-02-28,16,6,0.019,0.021,0.5,0.004,6.9,1.7,70,1014.9
2020-02-29,14,7,0.026,0.017,0.5,0.004,9.5,2,72.9,1008.6
2020-03-01,23,11,0.039,0.011,0.5,0.005,10.8,2.4,67.3,1009.4
2020-03-02,30,18,0.037,0.012,0.6,0.004,8.5,3.3,50.9,1012.5
2020-03-03,15,5,0.035,0.01,0.5,0.003,8.7,2.9,63.9,1015.5
2020-03-04,24,13,0.032,0.013,0.5,0.002,7.9,3.6,43.1,1010.6
2020-03-05,39,28,0.03,0.018,0.6,0.003,5.1,3.6,42.3,1014.5
2020-03-06,32,20,0.024,0.025,0.6,0.003,8.1,3,46.4,1013.1
2020-03-07,27,16,0.024,0.022,0.6,0.003,8.2,1.7,75.6,1009
2020-03-08,26,15,0.037,0.008,0.5,0.003,10.4,2.8,67.3,1009.8
2020-03-09,21,11,0.027,0.017,0.5,0.004,11,2.2,79.5,1005.2
2020-03-10,15,10,0.031,0.011,0.5,0.003,9.9,,83.6,996.1
2020-03-11,32,15,0.03,0.012,0.5,0.003,7.8,3.3,37,1007.6
